item.u,item.v,item.t,item.T
546,606,1379298633,Communication
1624,1624,1421071197,Communication
1624,1624,1421246251,Communication
0,992,1421247394,Communication
1158,55,1422010302,Communication
1624,1624,1422036537,Communication
1624,1624,1422098530,Communication
1225,1225,1422136953,Communication
414,1091,1423271713,Communication
1158,642,1423560787,Communication
0,992,1423651421,Communication
1624,1624,1423748076,Communication
1158,619,1424166791,Communication
1158,1557,1425566221,Communication
1158,1628,1425647730,Communication
1158,1936,1425987076,Communication
340,55,1426011563,Communication
1624,1624,1426023507,Communication
546,452,1426036227,Communication
1624,1624,1426080972,Communication
1158,1126,1426327381,Communication
1158,1385,1426330105,Communication
1158,1740,1426330164,Communication
1158,71,1426330217,Communication
0,992,1426486510,Communication
1158,1967,1426494295,Communication
1624,1624,1426712950,Communication
1624,1624,1426789737,Communication
1158,1598,1427196762,Communication
1158,1479,1427198573,Communication
1158,843,1427200832,Communication
1624,1624,1427201603,Communication
1624,1624,1427222216,Communication
1158,990,1427304624,Communication
1158,1273,1427306037,Communication
1158,2017,1427306274,Communication
1158,1600,1427306364,Communication
631,992,1427876970,Communication
1624,1624,1427990469,Communication
1126,452,1428400194,Communication
1624,1624,1428423712,Communication
1624,1624,1428662915,Communication
1158,339,1428674886,Communication
1624,1624,1429300288,Communication
1222,992,1429509651,Communication
1624,1624,1430324330,Communication
1158,312,1430724266,Communication
1158,1747,1430724446,Communication
1158,1628,1430729537,Communication
1624,1624,1430842137,Communication
0,992,1430898964,Communication
1158,1986,1430917892,Communication
1624,1624,1431092951,Communication
1624,1624,1431109980,Communication
1549,1747,1431600464,Communication
1624,1624,1431603659,Communication
1624,1624,1431997167,Communication
1624,1624,1432301077,Communication
1158,1276,1432713011,Communication
1158,1769,1432713573,Communication
1158,1880,1433146458,Communication
1624,1624,1433183468,Communication
1158,1631,1433334344,Communication
1624,1624,1433772761,Communication
1006,277,1433837109,Communication
1158,1928,1433937551,Communication
1158,55,1433937762,Communication
1158,1785,1434115578,Communication
1624,1624,1434138377,Communication
1158,1104,1434452091,Communication
1158,1628,1434546611,Communication
1158,486,1434546611,Communication
1158,277,1434546611,Communication
1624,1624,1434723039,Communication
814,814,1435230173,Communication
814,814,1435327980,Communication
1624,1624,1435331062,Communication
1624,1624,1435581972,Communication
999,245,1435595088,Communication
1624,1624,1435763240,Communication
999,894,1435881938,Communication
999,245,1436074893,Communication
1650,1650,1436270791,Communication
1624,1624,1436448464,Communication
1624,1624,1436635515,Communication
999,894,1436776185,Communication
1624,1624,1436785368,Communication
1158,1747,1436972624,Communication
1624,1624,1436990275,Communication
1624,1624,1437155954,Communication
546,452,1437352493,Communication
1624,1624,1437393242,Communication
1617,546,1437475005,Communication
1617,1158,1437475005,Communication
0,992,1437483959,Communication
1624,1624,1437500802,Communication
546,800,1437587129,Communication
1158,1598,1437637230,Communication
1624,1624,1437672753,Communication
1158,452,1437989874,Communication
1624,1624,1438613155,Communication
1624,1624,1438616584,Communication
340,55,1438692062,Communication
340,55,1438711577,Communication
1624,1624,1438778647,Communication
1624,1624,1438780060,Communication
1578,894,1438780482,Communication
1624,1624,1438820958,Communication
1899,245,1438849078,Communication
1899,245,1438859790,Communication
340,55,1438860174,Communication
1158,1122,1438870174,Communication
1158,1026,1438870347,Communication
340,55,1438884807,Communication
340,55,1438896685,Communication
1624,1624,1438903388,Communication
1624,1624,1438905398,Communication
1624,1624,1438905658,Communication
1624,1624,1438906130,Communication
1624,1624,1438907908,Communication
1158,1395,1438935127,Communication
1574,452,1438951695,Communication
1574,452,1438951767,Communication
1574,452,1438951829,Communication
1158,891,1439295869,Communication
497,245,1439305514,Communication
1624,1624,1439401268,Communication
1475,245,1439454690,Communication
452,712,1439525814,Communication
452,1668,1439525814,Communication
330,245,1439529320,Communication
1624,1624,1439553354,Communication
1624,1624,1439558956,Communication
1158,933,1439883149,Communication
1624,1624,1439926289,Communication
1624,1624,1439931856,Communication
1158,1557,1439967745,Communication
1158,1047,1439972552,Communication
1624,1624,1440106797,Communication
330,245,1440136031,Communication
1650,1650,1440510972,Communication
1624,1624,1440511748,Communication
1158,2026,1440578118,Communication
1624,1624,1440616732,Communication
1624,1624,1440694111,Communication
1624,1624,1440711377,Communication
1624,1624,1440770822,Communication
497,245,1440860715,Communication
1570,1570,1441028896,Communication
497,245,1441033512,Communication
1158,1218,1441175452,Communication
1624,1624,1441296705,Communication
1624,1624,1441727130,Communication
1624,1624,1441727912,Communication
1338,245,1441732755,Communication
1624,1624,1441802372,Communication
358,328,1441905591,Communication
358,475,1441905591,Communication
358,1549,1441905591,Communication
358,1767,1441905591,Communication
358,1986,1441905591,Communication
255,245,1442142265,Communication
1624,1624,1442143877,Communication
1158,619,1442231105,Communication
1158,942,1442231105,Communication
1624,1624,1442234188,Communication
1624,1624,1442237144,Communication
1624,1624,1442314929,Communication
1624,1624,1442326571,Communication
497,245,1442329512,Communication
255,245,1442339976,Communication
0,452,1442402928,Communication
0,277,1442404347,Communication
497,245,1442415915,Communication
1624,1624,1442442797,Communication
1624,1624,1442447076,Communication
1158,868,1442517368,Communication
1062,245,1442551563,Communication
1158,1586,1442564776,Communication
1158,409,1442564776,Communication
255,894,1442721585,Communication
100,245,1442722021,Communication
976,894,1442821977,Communication
1158,1747,1442825033,Communication
1158,1178,1442914155,Communication
255,245,1442942982,Communication
1905,1499,1442943789,Communication
1905,448,1442943789,Communication
1905,139,1442943789,Communication
1905,729,1442943789,Communication
1160,245,1442992823,Communication
1129,245,1443072070,Communication
330,245,1443076767,Communication
1624,1624,1443103469,Communication
1624,1624,1443106529,Communication
497,245,1443193514,Communication
497,245,1443279917,Communication
1624,1624,1443289028,Communication
358,894,1443327191,Communication
1158,1402,1443350869,Communication
1624,1624,1443362528,Communication
497,245,1443366313,Communication
1158,1038,1443439019,Communication
1624,1624,1443441637,Communication
1881,992,1443458380,Communication
1881,992,1443458539,Communication
1881,992,1443458897,Communication
1881,992,1443458959,Communication
1881,992,1443459328,Communication
1624,1624,1443471336,Communication
1881,992,1443471819,Communication
1881,992,1443471997,Communication
1881,992,1443472116,Communication
1881,992,1443472167,Communication
1881,992,1443472804,Communication
1158,922,1443505940,Communication
1158,1165,1443508542,Communication
1158,1273,1443509309,Communication
1158,1909,1443509791,Communication
1881,992,1443528405,Communication
1881,992,1443528579,Communication
1881,992,1443528653,Communication
1881,992,1443528747,Communication
1158,1586,1443537994,Communication
1158,1609,1443537994,Communication
1881,992,1443542385,Communication
1881,992,1443542913,Communication
1881,992,1443543030,Communication
1881,992,1443543045,Communication
1881,992,1443543080,Communication
1881,992,1443543827,Communication
1881,992,1443544830,Communication
1881,992,1443544876,Communication
1881,992,1443544881,Communication
1881,992,1443545016,Communication
1881,992,1443545214,Communication
1881,992,1443548382,Communication
1881,992,1443548430,Communication
1881,992,1443548511,Communication
255,245,1443548655,Communication
1881,992,1443548883,Communication
1881,992,1443549374,Communication
1881,992,1443550230,Communication
1881,992,1443550287,Communication
1881,992,1443550329,Communication
838,838,1443601829,Communication
1881,992,1443610008,Communication
1881,992,1443610092,Communication
1881,992,1443610226,Communication
1881,992,1443610268,Communication
1881,992,1443610351,Communication
1881,992,1443610398,Communication
1881,992,1443610583,Communication
1881,992,1443610589,Communication
1881,992,1443610890,Communication
1881,992,1443610988,Communication
1881,992,1443611030,Communication
1881,992,1443611034,Communication
1881,992,1443611202,Communication
1881,992,1443611395,Communication
1881,992,1443611467,Communication
1881,992,1443611467,Communication
1881,992,1443611548,Communication
1881,992,1443611603,Communication
1881,992,1443611820,Communication
1881,992,1443611822,Communication
1881,992,1443611892,Communication
1881,992,1443612030,Communication
1881,992,1443612099,Communication
1881,992,1443612186,Communication
1881,992,1443612186,Communication
1881,992,1443612186,Communication
1881,992,1443612197,Communication
1881,992,1443612201,Communication
1881,992,1443612216,Communication
1881,992,1443612262,Communication
1881,992,1443612441,Communication
1881,992,1443612500,Communication
1881,992,1443612828,Communication
1881,992,1443612846,Communication
1881,992,1443612855,Communication
1881,992,1443612859,Communication
1881,992,1443612864,Communication
1881,992,1443613184,Communication
1881,992,1443613185,Communication
1881,992,1443613185,Communication
1881,992,1443613185,Communication
1881,992,1443613350,Communication
1881,992,1443613350,Communication
1881,992,1443613405,Communication
1881,992,1443613417,Communication
1881,992,1443613439,Communication
1881,992,1443613688,Communication
1881,992,1443613692,Communication
1881,992,1443613775,Communication
1881,992,1443613775,Communication
1881,992,1443613878,Communication
1881,992,1443614004,Communication
1881,992,1443614004,Communication
1881,992,1443614040,Communication
1881,992,1443614193,Communication
1881,992,1443614242,Communication
1881,992,1443614242,Communication
1881,992,1443614408,Communication
1881,992,1443614515,Communication
1881,992,1443614718,Communication
1881,992,1443614744,Communication
1881,992,1443614745,Communication
1881,992,1443614900,Communication
1881,992,1443615151,Communication
1881,992,1443615152,Communication
1881,992,1443615152,Communication
1881,992,1443615152,Communication
1881,992,1443615308,Communication
1881,992,1443615329,Communication
1881,992,1443615330,Communication
1881,992,1443615331,Communication
1881,992,1443615408,Communication
1881,992,1443615408,Communication
1881,992,1443615489,Communication
1881,992,1443615492,Communication
1881,992,1443615492,Communication
1881,992,1443615537,Communication
1881,992,1443615551,Communication
1881,992,1443615551,Communication
1881,992,1443615596,Communication
1881,992,1443615630,Communication
587,245,1443690111,Communication
1873,1873,1443718097,Communication
1158,1261,1443781561,Communication
1158,467,1443785552,Communication
1158,1747,1443791413,Communication
1271,894,1444031484,Communication
497,245,1444057511,Communication
1846,245,1444126906,Communication
896,1905,1444147072,Communication
255,245,1444151678,Communication
1728,245,1444185786,Communication
1624,1624,1444222555,Communication
497,245,1444230310,Communication
1411,894,1444237198,Communication
1624,1624,1444237245,Communication
647,245,1444275260,Communication
497,245,1444403108,Communication
546,967,1444461095,Communication
497,245,1444489508,Communication
497,245,1444575908,Communication
497,245,1444662309,Communication
1042,894,1444678675,Communication
1624,1624,1444690826,Communication
918,245,1444721348,Communication
1158,1647,1444738648,Communication
1624,1624,1444756732,Communication
1624,1624,1444780970,Communication
1158,1069,1444815583,Communication
674,1951,1444820950,Communication
674,1499,1444820950,Communication
990,894,1444837580,Communication
674,894,1444838761,Communication
1276,1668,1444889862,Communication
1276,1276,1444889862,Communication
1276,1668,1444902644,Communication
1276,1276,1444902644,Communication
1624,1624,1444911876,Communication
497,245,1444921508,Communication
674,1499,1444921792,Communication
1826,894,1444945269,Communication
497,245,1445007908,Communication
497,245,1445094309,Communication
546,1630,1445129103,Communication
546,1520,1445129126,Communication
497,245,1445180708,Communication
1250,245,1445196842,Communication
1668,1668,1445232691,Communication
1668,312,1445232691,Communication
1877,1877,1445232771,Communication
1877,1668,1445232771,Communication
1668,885,1445235208,Communication
1668,1668,1445235208,Communication
0,351,1445235555,Communication
0,1668,1445235555,Communication
0,1668,1445244670,Communication
0,1731,1445244670,Communication
0,1668,1445248431,Communication
0,1592,1445248431,Communication
1668,629,1445253341,Communication
1668,1668,1445253341,Communication
270,245,1445310959,Communication
1668,1668,1445316644,Communication
1668,1825,1445316644,Communication
1668,749,1445317594,Communication
1668,1668,1445317594,Communication
1668,1668,1445318267,Communication
1668,749,1445318267,Communication
1668,1668,1445318742,Communication
1668,1825,1445318742,Communication
0,253,1445319624,Communication
0,1668,1445319624,Communication
0,1668,1445320340,Communication
0,751,1445320340,Communication
0,1968,1445320923,Communication
0,1668,1445320923,Communication
1668,1668,1445325539,Communication
1668,1171,1445325539,Communication
0,1668,1445330889,Communication
0,1430,1445330889,Communication
0,1668,1445334483,Communication
0,351,1445334483,Communication
0,1968,1445335451,Communication
0,1668,1445335451,Communication
0,1668,1445337151,Communication
0,1968,1445337151,Communication
1668,1668,1445338399,Communication
1668,1159,1445338399,Communication
1668,1668,1445338800,Communication
1668,1159,1445338800,Communication
1668,1668,1445344475,Communication
1668,154,1445344475,Communication
497,245,1445353510,Communication
1762,245,1445363518,Communication
0,1668,1445402316,Communication
0,1430,1445402316,Communication
0,599,1445402645,Communication
0,1668,1445402645,Communication
1668,1668,1445404178,Communication
1668,1825,1445404178,Communication
1668,1668,1445407150,Communication
1668,1188,1445407150,Communication
0,1668,1445410779,Communication
0,1529,1445410779,Communication
0,1668,1445419208,Communication
0,1968,1445419208,Communication
1877,1877,1445420832,Communication
1877,1668,1445420832,Communication
1668,2016,1445424475,Communication
1668,1668,1445424475,Communication
0,1668,1445426945,Communication
0,351,1445426945,Communication
504,245,1445432496,Communication
1158,659,1445438606,Communication
1400,245,1445441460,Communication
0,1668,1445502881,Communication
0,1731,1445502881,Communication
0,1668,1445503170,Communication
0,1731,1445503170,Communication
0,721,1445505310,Communication
0,1668,1445505310,Communication
1015,894,1445515177,Communication
1158,1653,1445519868,Communication
497,245,1445612708,Communication
835,824,1445622190,Communication
835,245,1445622190,Communication
497,245,1445699110,Communication
1624,1624,1445785118,Communication
497,245,1445789108,Communication
1668,1817,1445840264,Communication
1668,1668,1445840264,Communication
1668,1668,1445841323,Communication
1668,1159,1445841323,Communication
544,894,1445868727,Communication
497,245,1445875508,Communication
810,245,1445881780,Communication
1158,505,1445935450,Communication
1342,245,1445949412,Communication
1624,1624,1445950340,Communication
0,1968,1446010866,Communication
0,1668,1446010866,Communication
0,1668,1446013372,Communication
0,1718,1446013372,Communication
0,1668,1446026128,Communication
0,1234,1446026128,Communication
0,622,1446029779,Communication
0,1668,1446029779,Communication
497,245,1446048310,Communication
1907,894,1446051716,Communication
1624,1624,1446075237,Communication
1624,1624,1446077482,Communication
1624,1624,1446077710,Communication
1624,1624,1446079152,Communication
1668,610,1446097047,Communication
1668,1668,1446097047,Communication
0,1668,1446097355,Communication
0,769,1446097355,Communication
0,454,1446099517,Communication
0,1668,1446099517,Communication
1668,119,1446100020,Communication
1668,1668,1446100020,Communication
0,1668,1446103116,Communication
0,316,1446103116,Communication
119,1668,1446103312,Communication
119,119,1446103312,Communication
0,1430,1446103774,Communication
0,1668,1446103774,Communication
0,1430,1446105317,Communication
0,1668,1446105317,Communication
0,1668,1446114804,Communication
0,1259,1446114804,Communication
0,1668,1446116044,Communication
0,1816,1446116044,Communication
0,1668,1446122259,Communication
0,1816,1446122259,Communication
1646,894,1446160230,Communication
1397,1397,1446183606,Communication
1397,1668,1446183606,Communication
1668,1668,1446187997,Communication
1668,1159,1446187997,Communication
1668,1805,1446188228,Communication
1668,1668,1446188228,Communication
0,1437,1446203377,Communication
0,1668,1446203377,Communication
497,894,1446213909,Communication
1623,1237,1446214246,Communication
358,452,1446219885,Communication
358,894,1446219885,Communication
1624,1624,1446325488,Communication
1624,1624,1446491987,Communication
0,447,1446619062,Communication
0,1668,1446619062,Communication
1668,1668,1446620731,Communication
1668,1733,1446620731,Communication
1668,1733,1446621227,Communication
1668,1668,1446621227,Communication
0,1968,1446628155,Communication
0,1668,1446628155,Communication
0,1224,1446635659,Communication
0,1668,1446635659,Communication
1624,1624,1446673097,Communication
0,1823,1446709504,Communication
0,1668,1446709504,Communication
849,245,1446730559,Communication
497,245,1446739508,Communication
1624,1624,1446746435,Communication
0,1668,1446789911,Communication
0,757,1446789911,Communication
0,1668,1446795359,Communication
0,1495,1446795359,Communication
1668,1668,1446795659,Communication
1668,1003,1446795659,Communication
1668,1003,1446795723,Communication
1668,1668,1446795723,Communication
1668,1668,1446796190,Communication
1668,1003,1446796190,Communication
1668,277,1446802403,Communication
1668,1668,1446802403,Communication
1668,1877,1446804838,Communication
1668,1668,1446804838,Communication
849,868,1446807620,Communication
519,55,1446818530,Communication
519,245,1446818533,Communication
1921,1951,1446835823,Communication
1921,245,1446835823,Communication
1921,1287,1446835823,Communication
497,245,1446998709,Communication
1668,1276,1447048669,Communication
1668,1668,1447048669,Communication
1668,1805,1447060662,Communication
1668,1668,1447060662,Communication
0,1668,1447060737,Communication
0,1224,1447060737,Communication
1668,1838,1447067842,Communication
1668,1668,1447067842,Communication
0,1668,1447072159,Communication
0,1718,1447072159,Communication
1668,312,1447074402,Communication
1668,1668,1447074402,Communication
1668,1668,1447074489,Communication
1668,584,1447074489,Communication
1668,1877,1447135229,Communication
1668,1668,1447135229,Communication
0,1984,1447137379,Communication
0,1668,1447137379,Communication
0,1968,1447142847,Communication
0,1668,1447142847,Communication
1668,749,1447154965,Communication
1668,1668,1447154965,Communication
0,1474,1447156857,Communication
0,1668,1447156857,Communication
1624,1624,1447204582,Communication
1624,1624,1447205899,Communication
1624,1624,1447206501,Communication
1624,1624,1447209085,Communication
1744,245,1447233169,Communication
644,245,1447325213,Communication
1271,894,1447357846,Communication
519,245,1447422526,Communication
1624,1624,1447425292,Communication
1516,245,1447477588,Communication
1624,1624,1447561779,Communication
1624,1624,1447607220,Communication
0,1718,1447656773,Communication
0,1668,1447656773,Communication
0,1718,1447656867,Communication
0,1668,1447656867,Communication
0,351,1447658704,Communication
0,1668,1447658704,Communication
1668,119,1447658909,Communication
1668,1668,1447658909,Communication
1158,868,1447677661,Communication
497,245,1447689910,Communication
0,351,1447741717,Communication
0,1668,1447741717,Communication
0,1668,1447764423,Communication
0,611,1447764423,Communication
1624,1624,1447780435,Communication
0,1447,1447848880,Communication
0,1668,1447848880,Communication
2019,245,1447850365,Communication
497,245,1447862710,Communication
1272,1809,1447867498,Communication
1668,119,1447915066,Communication
1668,1668,1447915066,Communication
1668,1668,1447915150,Communication
1668,1119,1447915150,Communication
1668,1668,1447925827,Communication
1668,629,1447925827,Communication
1595,245,1447927177,Communication
0,1668,1447937159,Communication
0,26,1447937159,Communication
1624,1624,1447958935,Communication
544,894,1447998610,Communication
1668,1668,1448000886,Communication
1668,1549,1448000886,Communication
1668,1668,1448001270,Communication
1668,658,1448001270,Communication
1668,1585,1448003515,Communication
1668,1668,1448003515,Communication
594,245,1448271373,Communication
0,351,1448276190,Communication
0,1668,1448276190,Communication
0,1259,1448282505,Communication
0,1668,1448282505,Communication
1626,245,1448647767,Communication
1624,1624,1448813601,Communication
1624,1624,1448892310,Communication
1668,1276,1448951043,Communication
1668,1668,1448951043,Communication
0,1668,1448962860,Communication
0,651,1448962860,Communication
1668,1877,1448966778,Communication
1668,1668,1448966778,Communication
0,1259,1448974374,Communication
0,1668,1448974374,Communication
1144,245,1448986271,Communication
1161,894,1449006605,Communication
1668,1575,1449039751,Communication
1668,1668,1449039751,Communication
