item.u,item.v,item.t,item.T
74,6,2013-01-01 16:53:04,Communication
103,268,2013-01-01 22:42:13,Communication
103,268,2013-01-01 22:43:27,Communication
103,268,2013-01-01 22:45:54,Communication
103,268,2013-01-01 22:47:34,Communication
211,247,2013-01-02 01:27:47,Communication
163,248,2013-01-02 02:43:01,Communication
103,268,2013-01-02 05:22:01,Communication
74,6,2013-01-02 05:47:07,Communication
103,268,2013-01-02 05:51:09,Communication
103,268,2013-01-02 06:11:19,Communication
74,6,2013-01-02 06:37:04,Communication
74,6,2013-01-02 07:40:45,Communication
74,6,2013-01-02 08:38:45,Communication
218,157,2013-01-02 09:13:12,Communication
192,40,2013-01-02 09:51:18,Communication
218,248,2013-01-02 11:09:05,Communication
74,6,2013-01-02 13:32:50,Communication
243,113,2013-01-02 14:04:14,Communication
224,120,2013-01-02 14:17:31,AE
224,120,2013-01-02 14:18:31,Communication
224,120,2013-01-02 14:18:41,Communication
141,268,2013-01-02 14:24:35,AE
248,176,2013-01-02 15:08:53,Communication
89,248,2013-01-02 15:28:49,Communication
74,6,2013-01-02 15:32:11,Communication
18,277,2013-01-02 17:19:38,Communication
248,176,2013-01-02 17:21:57,Communication
145,268,2013-01-02 17:55:09,Communication
163,176,2013-01-02 20:03:33,AE
163,268,2013-01-02 21:25:17,Communication
192,268,2013-01-02 22:08:02,Communication
40,22,2013-01-02 23:48:04,Communication
220,22,2013-01-03 00:06:48,Communication
163,40,2013-01-03 00:17:48,Communication
265,22,2013-01-03 00:43:20,Communication
250,210,2013-01-03 02:18:50,Communication
250,210,2013-01-03 02:21:28,Communication
141,22,2013-01-03 02:42:34,Communication
270,22,2013-01-03 02:57:05,Communication
74,6,2013-01-03 03:35:35,Communication
74,6,2013-01-03 04:08:10,Communication
74,6,2013-01-03 04:10:37,Communication
74,6,2013-01-03 06:31:19,Communication
233,22,2013-01-03 08:02:28,Communication
218,113,2013-01-03 08:32:40,Communication
74,6,2013-01-03 08:52:04,Communication
74,6,2013-01-03 10:45:49,Communication
73,22,2013-01-03 11:07:44,Communication
1,175,2013-01-03 11:14:00,Communication
1,175,2013-01-03 11:14:12,AE
18,259,2013-01-03 11:38:58,Communication
274,268,2013-01-03 11:49:55,AE
274,268,2013-01-03 11:52:43,Communication
73,22,2013-01-03 11:53:51,AE
73,22,2013-01-03 11:55:28,Communication
18,277,2013-01-03 11:58:45,Communication
243,248,2013-01-03 14:05:21,Communication
37,113,2013-01-03 18:11:11,Communication
105,22,2013-01-03 19:33:16,Communication
178,268,2013-01-03 22:49:13,Communication
70,268,2013-01-04 00:13:25,Communication
141,268,2013-01-04 03:59:55,Communication
131,248,2013-01-04 07:16:34,Communication
131,248,2013-01-04 07:18:38,Communication
131,113,2013-01-04 07:40:18,Communication
157,113,2013-01-04 08:19:18,Communication
12,7,2013-01-04 12:14:25,Communication
248,176,2013-01-04 13:06:46,Communication
7,12,2013-01-04 13:06:49,AE
248,176,2013-01-04 13:07:24,Communication
12,7,2013-01-04 13:53:50,Communication
12,7,2013-01-04 14:12:12,Communication
12,7,2013-01-04 14:15:20,Communication
247,17,2013-01-04 15:39:27,Communication
149,113,2013-01-04 16:43:29,Communication
129,22,2013-01-04 17:43:50,Communication
159,268,2013-01-04 20:51:50,Communication
61,210,2013-01-04 21:03:35,AE
29,113,2013-01-04 21:25:18,Communication
196,94,2013-01-04 21:53:21,Communication
196,94,2013-01-04 21:53:24,AE
