id.A,id.B,event_type,time_point
74,6,PushEvent,2013-01-01 16:53:04
103,268,IssueCommentEvent,2013-01-01 22:42:13
103,268,IssueCommentEvent,2013-01-01 22:43:27
103,268,IssueCommentEvent,2013-01-01 22:45:54
103,268,IssueCommentEvent,2013-01-01 22:47:34
211,247,WatchEvent,2013-01-02 01:27:47
163,248,WatchEvent,2013-01-02 02:43:01
103,268,IssueCommentEvent,2013-01-02 05:22:01
74,6,PushEvent,2013-01-02 05:47:07
103,268,CommitCommentEvent,2013-01-02 05:51:09
103,268,IssueCommentEvent,2013-01-02 06:11:19
74,6,PushEvent,2013-01-02 06:37:04
74,6,PushEvent,2013-01-02 07:40:45
74,6,PushEvent,2013-01-02 08:38:45
218,157,WatchEvent,2013-01-02 09:13:12
192,40,WatchEvent,2013-01-02 09:51:18
218,248,WatchEvent,2013-01-02 11:09:05
74,6,PushEvent,2013-01-02 13:32:50
243,113,WatchEvent,2013-01-02 14:04:14
224,120,FollowEvent,2013-01-02 14:17:31
224,120,WatchEvent,2013-01-02 14:18:31
224,120,WatchEvent,2013-01-02 14:18:41
141,268,FollowEvent,2013-01-02 14:24:35
248,176,ForkEvent,2013-01-02 15:08:53
89,248,WatchEvent,2013-01-02 15:28:49
74,6,PushEvent,2013-01-02 15:32:11
18,277,WatchEvent,2013-01-02 17:19:38
248,176,PullRequestEvent,2013-01-02 17:21:57
145,268,WatchEvent,2013-01-02 17:55:09
163,176,FollowEvent,2013-01-02 20:03:33
163,268,WatchEvent,2013-01-02 21:25:17
192,268,WatchEvent,2013-01-02 22:08:02
40,22,WatchEvent,2013-01-02 23:48:04
220,22,WatchEvent,2013-01-03 00:06:48
163,40,WatchEvent,2013-01-03 00:17:48
265,22,WatchEvent,2013-01-03 00:43:20
250,210,IssueCommentEvent,2013-01-03 02:18:50
250,210,IssueCommentEvent,2013-01-03 02:21:28
141,22,WatchEvent,2013-01-03 02:42:34
270,22,WatchEvent,2013-01-03 02:57:05
74,6,PushEvent,2013-01-03 03:35:35
74,6,PushEvent,2013-01-03 04:08:10
74,6,PushEvent,2013-01-03 04:10:37
74,6,PushEvent,2013-01-03 06:31:19
233,22,WatchEvent,2013-01-03 08:02:28
218,113,WatchEvent,2013-01-03 08:32:40
74,6,PushEvent,2013-01-03 08:52:04
74,6,PushEvent,2013-01-03 10:45:49
73,22,WatchEvent,2013-01-03 11:07:44
1,175,WatchEvent,2013-01-03 11:14:00
1,175,FollowEvent,2013-01-03 11:14:12
18,259,WatchEvent,2013-01-03 11:38:58
274,268,FollowEvent,2013-01-03 11:49:55
274,268,WatchEvent,2013-01-03 11:52:43
73,22,FollowEvent,2013-01-03 11:53:51
73,22,WatchEvent,2013-01-03 11:55:28
18,277,WatchEvent,2013-01-03 11:58:45
243,248,WatchEvent,2013-01-03 14:05:21
37,113,WatchEvent,2013-01-03 18:11:11
105,22,WatchEvent,2013-01-03 19:33:16
178,268,IssueCommentEvent,2013-01-03 22:49:13
70,268,WatchEvent,2013-01-04 00:13:25
141,268,WatchEvent,2013-01-04 03:59:55
131,248,IssuesEvent,2013-01-04 07:16:34
131,248,ForkEvent,2013-01-04 07:18:38
131,113,WatchEvent,2013-01-04 07:40:18
157,113,WatchEvent,2013-01-04 08:19:18
12,7,WatchEvent,2013-01-04 12:14:25
248,176,ForkEvent,2013-01-04 13:06:46
7,12,FollowEvent,2013-01-04 13:06:49
248,176,PullRequestEvent,2013-01-04 13:07:24
12,7,PushEvent,2013-01-04 13:53:50
12,7,PushEvent,2013-01-04 14:12:12
12,7,PushEvent,2013-01-04 14:15:20
247,17,WatchEvent,2013-01-04 15:39:27
149,113,WatchEvent,2013-01-04 16:43:29
129,22,WatchEvent,2013-01-04 17:43:50
159,268,WatchEvent,2013-01-04 20:51:50
61,210,FollowEvent,2013-01-04 21:03:35
29,113,WatchEvent,2013-01-04 21:25:18
196,94,WatchEvent,2013-01-04 21:53:21
196,94,FollowEvent,2013-01-04 21:53:24
250,210,IssueCommentEvent,2013-01-05 00:21:55
250,210,IssueCommentEvent,2013-01-05 00:35:24
250,210,IssueCommentEvent,2013-01-05 00:38:58
149,113,FollowEvent,2013-01-05 02:01:24
177,22,WatchEvent,2013-01-05 02:54:00
103,268,IssueCommentEvent,2013-01-05 04:10:07
131,248,PullRequestEvent,2013-01-05 04:43:30
131,248,IssuesEvent,2013-01-05 04:45:26
89,175,WatchEvent,2013-01-05 05:27:50
266,268,WatchEvent,2013-01-05 06:27:13
216,268,WatchEvent,2013-01-05 06:31:50
141,268,WatchEvent,2013-01-05 07:29:50
141,0,WatchEvent,2013-01-05 07:30:01
249,268,ForkEvent,2013-01-05 10:17:53
185,41,FollowEvent,2013-01-05 10:57:52
3,268,WatchEvent,2013-01-05 16:11:45
15,238,FollowEvent,2013-01-05 18:14:35
216,40,WatchEvent,2013-01-06 02:07:33
159,0,WatchEvent,2013-01-06 03:10:47
103,268,ForkEvent,2013-01-06 03:34:47
103,268,PullRequestEvent,2013-01-06 03:49:32
74,6,PushEvent,2013-01-06 03:54:06
190,268,WatchEvent,2013-01-06 04:01:15
74,6,PushEvent,2013-01-06 04:30:01
74,6,PushEvent,2013-01-06 05:41:14
74,6,PushEvent,2013-01-06 08:04:44
163,176,WatchEvent,2013-01-06 08:46:24
7,12,PushEvent,2013-01-06 08:55:37
7,12,PushEvent,2013-01-06 09:00:43
74,6,PushEvent,2013-01-06 09:34:16
74,6,PushEvent,2013-01-06 10:08:54
89,176,FollowEvent,2013-01-06 10:25:39
74,6,PushEvent,2013-01-06 10:41:04
7,12,PushEvent,2013-01-06 10:41:23
74,6,PushEvent,2013-01-06 10:53:12
7,12,PushEvent,2013-01-06 11:08:21
7,12,PushEvent,2013-01-06 11:09:31
7,12,PushEvent,2013-01-06 11:41:11
222,176,WatchEvent,2013-01-06 11:49:24
222,248,WatchEvent,2013-01-06 12:38:13
222,248,WatchEvent,2013-01-06 12:40:10
7,12,PushEvent,2013-01-06 13:03:55
74,6,PushEvent,2013-01-06 14:31:10
7,12,PushEvent,2013-01-06 14:35:58
7,12,PushEvent,2013-01-06 14:44:55
7,12,PushEvent,2013-01-06 14:51:59
7,12,IssuesEvent,2013-01-06 15:00:02
7,12,IssuesEvent,2013-01-06 15:02:35
7,12,IssuesEvent,2013-01-06 15:03:04
7,12,IssuesEvent,2013-01-06 15:14:54
7,12,PushEvent,2013-01-06 15:28:49
7,12,PushEvent,2013-01-06 16:00:39
7,12,PushEvent,2013-01-06 16:48:11
7,12,IssueCommentEvent,2013-01-06 17:10:22
192,268,WatchEvent,2013-01-06 22:52:05
163,115,WatchEvent,2013-01-06 23:18:37
163,115,FollowEvent,2013-01-06 23:23:29
17,138,WatchEvent,2013-01-06 23:39:04
7,12,PushEvent,2013-01-07 04:16:24
74,6,PushEvent,2013-01-07 04:20:48
74,6,PushEvent,2013-01-07 04:32:15
74,6,PushEvent,2013-01-07 04:48:01
74,6,PushEvent,2013-01-07 04:50:10
74,6,PushEvent,2013-01-07 05:10:57
211,17,WatchEvent,2013-01-07 05:40:45
74,6,PushEvent,2013-01-07 06:01:31
74,6,PushEvent,2013-01-07 06:16:18
183,176,WatchEvent,2013-01-07 06:41:39
74,6,PushEvent,2013-01-07 06:44:50
74,6,PushEvent,2013-01-07 07:15:54
7,12,PushEvent,2013-01-07 11:41:55
7,12,PushEvent,2013-01-07 14:41:39
141,52,FollowEvent,2013-01-07 17:04:17
248,176,ForkEvent,2013-01-07 18:02:51
248,176,PullRequestEvent,2013-01-07 18:03:53
248,176,PullRequestEvent,2013-01-07 18:49:20
248,176,PullRequestEvent,2013-01-07 18:49:47
248,176,IssueCommentEvent,2013-01-07 18:49:47
248,176,PullRequestEvent,2013-01-07 20:47:12
136,94,WatchEvent,2013-01-07 21:32:18
182,176,CommitCommentEvent,2013-01-07 22:36:21
10,248,WatchEvent,2013-01-07 23:29:06
182,176,WatchEvent,2013-01-08 01:10:07
74,6,PushEvent,2013-01-08 03:53:14
74,6,PushEvent,2013-01-08 04:07:40
74,6,PushEvent,2013-01-08 04:28:22
74,6,PushEvent,2013-01-08 06:55:44
163,146,WatchEvent,2013-01-08 07:00:21
163,146,FollowEvent,2013-01-08 07:00:25
113,176,WatchEvent,2013-01-08 08:45:05
268,18,IssuesEvent,2013-01-08 09:35:28
132,176,WatchEvent,2013-01-08 11:24:39
89,176,WatchEvent,2013-01-08 12:32:57
249,268,WatchEvent,2013-01-08 13:53:02
249,268,ForkEvent,2013-01-08 13:53:13
249,248,WatchEvent,2013-01-08 13:54:52
74,6,PushEvent,2013-01-08 15:06:05
272,65,WatchEvent,2013-01-08 17:52:40
140,268,WatchEvent,2013-01-08 18:26:06
56,248,WatchEvent,2013-01-08 20:38:58
178,257,WatchEvent,2013-01-08 21:48:50
178,56,WatchEvent,2013-01-08 21:49:56
42,266,ForkEvent,2013-01-08 22:15:27
133,268,IssueCommentEvent,2013-01-08 23:55:23
133,268,IssueCommentEvent,2013-01-09 00:02:07
191,248,WatchEvent,2013-01-09 00:47:47
127,268,WatchEvent,2013-01-09 01:25:54
196,40,WatchEvent,2013-01-09 02:05:50
141,268,WatchEvent,2013-01-09 02:37:02
141,268,WatchEvent,2013-01-09 02:38:26
141,268,WatchEvent,2013-01-09 02:39:24
64,22,WatchEvent,2013-01-09 03:51:54
61,41,WatchEvent,2013-01-09 04:05:47
