item.u,item.v,item.t,item.T
86,2419,1095984059,Communication
30,11311,1095986277,Communication
11301,30,1095986477,Communication
11301,30,1095986494,Communication
11441,30,1095987386,Communication
30,11412,1095988348,Communication
30,11443,1095989201,Communication
30,11301,1095990039,Communication
30,11301,1095990060,Communication
30,11301,1095990082,Communication
19,8851,1095990158,Communication
30,11432,1095990373,Communication
11301,30,1095990529,Communication
60,20319,1095990562,Communication
32,12639,1095990659,Communication
11432,30,1095990731,Communication
30,11301,1095990809,Communication
43,15822,1095991302,Communication
44,15962,1095991710,Communication
44,15962,1095992048,Communication
86,25988,1095992120,Communication
56,107,1095992326,Communication
66,21680,1095992526,Communication
11301,30,1095992893,Communication
19,8843,1095993327,Communication
11301,30,1095993785,Communication
8,8,1095994078,Communication
56,107,1095994978,Communication
56,107,1095995009,Communication
30,11301,1095995324,Communication
30,11301,1095995675,Communication
30,11301,1095995708,Communication
73,23684,1095996176,Communication
30,11301,1095996187,Communication
11301,30,1095996871,Communication
33,12976,1095997778,Communication
33,4593,1095997806,Communication
67,22354,1095998518,Communication
67,21962,1095998822,Communication
56,19183,1095999632,Communication
47,17186,1096001386,Communication
44,15952,1096001757,Communication
47,17183,1096002306,Communication
42,13617,1096002382,Communication
32,12640,1096003100,Communication
47,17178,1096003359,Communication
32,12634,1096003443,Communication
33,12976,1096003858,Communication
39,14086,1096004782,Communication
22355,67,1096004952,Communication
33,12976,1096005492,Communication
33,12976,1096005518,Communication
47,17183,1096005551,Communication
47,17183,1096006382,Communication
47,17183,1096006514,Communication
33,12978,1096006979,Communication
12978,33,1096007626,Communication
82,1311,1096007684,Communication
8,8,1096008667,Communication
7,2991,1096009077,Communication
8174,17,1096009114,Communication
2878,7,1096009488,Communication
5,2567,1096009824,Communication
6,107,1096010217,Communication
31,11686,1096010310,Communication
17756,52,1096010434,Communication
7,2878,1096010467,Communication
47,17178,1096010562,Communication
9856,25,1096011643,Communication
11139,29,1096011825,Communication
6,2642,1096012047,Communication
11686,31,1096012296,Communication
31,11686,1096012444,Communication
18573,55,1096012539,Communication
14,4593,1096012689,Communication
14,4732,1096012754,Communication
8,8,1096012963,Communication
14,4593,1096013021,Communication
14,4732,1096013060,Communication
14,4732,1096013156,Communication
4732,14,1096013238,Communication
2878,7,1096013939,Communication
4594,14,1096013968,Communication
3039,7,1096014232,Communication
12976,33,1096014341,Communication
52,17774,1096014384,Communication
33,12978,1096014762,Communication
82,25156,1096014805,Communication
33,4593,1096014816,Communication
43,15570,1096014922,Communication
28,107,1096015013,Communication
41,214,1096015159,Communication
42,15518,1096015161,Communication
42,107,1096015320,Communication
44,15951,1096015554,Communication
62,21019,1096015671,Communication
42,2962,1096015732,Communication
44,15964,1096015825,Communication
62,62,1096015940,Communication
44,15965,1096015968,Communication
13117,82,1096015995,Communication
62,62,1096016012,Communication
82,42,1096016079,Communication
44,15952,1096016151,Communication
42,82,1096016194,Communication
42,82,1096016225,Communication
17,8142,1096016298,Communication
41,15181,1096016309,Communication
52,17753,1096016353,Communication
44,15954,1096016444,Communication
42,107,1096016609,Communication
33,12978,1096016617,Communication
41,15181,1096016678,Communication
44,15962,1096016683,Communication
82,13253,1096016743,Communication
44,15967,1096016767,Communication
47,17188,1096017180,Communication
47,17188,1096017232,Communication
15,1311,1096017390,Communication
47,17178,1096017733,Communication
17189,47,1096017911,Communication
2878,7,1096018020,Communication
52,10158,1096018152,Communication
41,15182,1096018462,Communication
12979,33,1096018517,Communication
44,15962,1096018621,Communication
15182,41,1096018701,Communication
2878,7,1096018736,Communication
12980,33,1096018825,Communication
18,8569,1096019007,Communication
20,2657,1096019185,Communication
41,15182,1096019298,Communication
383,4,1096019465,Communication
2647,10,1096019467,Communication
43,107,1096019500,Communication
43,15570,1096019563,Communication
2657,20,1096019654,Communication
4,107,1096019702,Communication
11139,29,1096019706,Communication
10,2647,1096019780,Communication
8569,18,1096019845,Communication
26,9957,1096020034,Communication
11139,29,1096020040,Communication
4,97,1096020514,Communication
32,12634,1096020548,Communication
31,11680,1096020735,Communication
8,8,1096021047,Communication
66,59,1096021234,Communication
4268,12,1096021273,Communication
10,2647,1096021312,Communication
42,15520,1096021373,Communication
10,2647,1096021529,Communication
10,2647,1096021618,Communication
33,12981,1096021664,Communication
66,21679,1096021683,Communication
88,26808,1096021759,Communication
41,15181,1096021777,Communication
88,26821,1096021801,Communication
88,26808,1096021822,Communication
33,12982,1096022081,Communication
30,11293,1096022085,Communication
11139,29,1096022191,Communication
7,3040,1096022781,Communication
52,17750,1096022842,Communication
86,25984,1096022853,Communication
10,2647,1096022914,Communication
12983,33,1096022951,Communication
82,342,1096022955,Communication
718,43,1096023001,Communication
15185,41,1096023005,Communication
10,2647,1096023105,Communication
10,2647,1096023244,Communication
10,2642,1096023296,Communication
31,11726,1096023359,Communication
10,2647,1096023448,Communication
