id.A,id.B,event_type,time_point
42,50,Calls,2008-09-11 03:16:14
42,50,Calls,2008-09-19 00:31:33
42,21,Calls,2008-09-19 00:58:02
42,54,Calls,2008-09-19 01:21:04
42,50,Calls,2008-09-19 18:20:43
42,50,Calls,2008-09-19 19:36:53
42,54,Calls,2008-09-19 19:39:01
42,54,Calls,2008-09-19 19:55:40
42,54,Calls,2008-09-19 20:27:49
42,50,Calls,2008-09-20 00:53:39
42,54,Calls,2008-09-20 01:22:30
42,54,Calls,2008-09-20 01:49:46
42,54,Calls,2008-09-20 01:50:19
42,54,Calls,2008-09-20 06:37:31
42,54,Calls,2008-09-20 08:11:09
28,76,Calls,2008-09-20 15:15:51
42,54,Calls,2008-09-20 16:35:13
42,50,Calls,2008-09-20 16:37:42
42,50,Calls,2008-09-20 18:43:45
30,10,Calls,2008-09-27 02:47:35
45,31,Calls,2008-09-27 03:07:57
45,13,Calls,2008-09-27 03:08:45
45,43,Calls,2008-09-27 03:16:09
43,45,Calls,2008-09-27 03:16:17
45,19,Calls,2008-09-27 03:47:32
23,57,Calls,2008-09-27 13:35:27
23,57,Calls,2008-09-27 13:44:47
30,15,SMS,2008-09-27 13:53:53
23,57,Calls,2008-09-27 14:08:42
23,57,Calls,2008-09-27 14:13:24
15,30,SMS,2008-09-27 14:53:52
30,15,SMS,2008-09-27 14:53:53
15,30,SMS,2008-09-27 15:53:52
30,15,SMS,2008-09-27 15:53:53
23,57,Calls,2008-09-27 16:56:35
23,57,Calls,2008-09-27 16:57:51
23,57,Calls,2008-09-27 17:17:28
43,45,SMS,2008-09-27 17:27:38
30,15,SMS,2008-09-27 17:56:22
30,15,SMS,2008-09-27 17:56:59
30,15,SMS,2008-09-27 17:58:15
30,15,SMS,2008-09-27 18:56:22
30,15,SMS,2008-09-27 18:56:59
15,30,SMS,2008-09-27 18:57:21
30,15,SMS,2008-09-27 18:58:15
43,3,Calls,2008-09-27 18:59:24
23,57,Calls,2008-09-27 19:01:19
23,57,Calls,2008-09-27 19:01:31
56,1,SMS,2008-09-27 19:17:54
30,15,SMS,2008-09-27 19:56:22
30,15,SMS,2008-09-27 19:56:59
15,30,SMS,2008-09-27 19:57:21
30,15,SMS,2008-09-27 19:58:15
30,26,Calls,2008-09-27 20:18:09
43,45,SMS,2008-09-27 20:27:38
1,56,SMS,2008-09-27 21:17:52
56,1,SMS,2008-09-27 21:17:54
23,57,Calls,2008-09-27 21:22:15
23,57,Calls,2008-09-27 21:22:29
43,45,SMS,2008-09-27 21:27:38
56,1,SMS,2008-09-27 22:17:54
23,57,Calls,2008-09-28 01:08:41
23,57,Calls,2008-09-28 01:09:14
23,57,Calls,2008-09-28 01:09:40
23,57,Calls,2008-09-28 01:34:24
43,45,Calls,2008-09-28 02:56:56
45,43,Calls,2008-09-28 02:57:21
23,57,Calls,2008-09-28 03:46:48
1,24,Calls,2008-09-28 04:00:43
1,24,Calls,2008-09-28 04:02:03
1,24,Calls,2008-09-28 04:02:43
23,57,Calls,2008-09-28 19:49:47
23,57,Calls,2008-09-29 15:01:20
23,57,Calls,2008-09-29 15:01:46
23,57,Calls,2008-09-29 21:00:05
23,57,Calls,2008-09-30 03:54:55
43,5,Calls,2008-09-30 05:35:23
43,5,Calls,2008-09-30 05:55:40
30,20,Calls,2008-09-30 20:55:45
23,57,Calls,2008-09-30 21:02:19
23,57,Calls,2008-09-30 21:37:52
23,57,Calls,2008-09-30 22:06:49
23,57,Calls,2008-10-01 00:38:31
23,57,Calls,2008-10-01 01:13:10
6,3,Calls,2008-10-01 02:10:14
23,57,Calls,2008-10-01 04:06:00
23,57,Calls,2008-10-01 04:07:10
23,57,Calls,2008-10-01 04:08:03
23,57,Calls,2008-10-01 04:09:02
