item.u,item.v,item.t,item.T
42,50,2008-09-11 03:16:14,Communication
42,50,2008-09-19 00:31:33,Communication
42,21,2008-09-19 00:58:02,Communication
42,54,2008-09-19 01:21:04,Communication
42,50,2008-09-19 18:20:43,Communication
42,50,2008-09-19 19:36:53,Communication
42,54,2008-09-19 19:39:01,Communication
42,54,2008-09-19 19:55:40,Communication
42,54,2008-09-19 20:27:49,Communication
42,50,2008-09-20 00:53:39,Communication
42,54,2008-09-20 01:22:30,Communication
42,54,2008-09-20 01:49:46,Communication
42,54,2008-09-20 01:50:19,Communication
42,54,2008-09-20 06:37:31,Communication
42,54,2008-09-20 08:11:09,Communication
28,76,2008-09-20 15:15:51,Communication
42,54,2008-09-20 16:35:13,Communication
42,50,2008-09-20 16:37:42,Communication
42,50,2008-09-20 18:43:45,Communication
30,10,2008-09-27 02:47:35,Communication
45,31,2008-09-27 03:07:57,Communication
45,13,2008-09-27 03:08:45,Communication
45,43,2008-09-27 03:16:09,Communication
43,45,2008-09-27 03:16:17,Communication
45,19,2008-09-27 03:47:32,Communication
23,57,2008-09-27 13:35:27,Communication
23,57,2008-09-27 13:44:47,Communication
30,15,2008-09-27 13:53:53,Communication
23,57,2008-09-27 14:08:42,Communication
23,57,2008-09-27 14:13:24,Communication
15,30,2008-09-27 14:53:52,Communication
30,15,2008-09-27 14:53:53,Communication
15,30,2008-09-27 15:53:52,Communication
30,15,2008-09-27 15:53:53,Communication
23,57,2008-09-27 16:56:35,Communication
23,57,2008-09-27 16:57:51,Communication
23,57,2008-09-27 17:17:28,Communication
43,45,2008-09-27 17:27:38,Communication
30,15,2008-09-27 17:56:22,Communication
30,15,2008-09-27 17:56:59,Communication
30,15,2008-09-27 17:58:15,Communication
30,15,2008-09-27 18:56:22,Communication
30,15,2008-09-27 18:56:59,Communication
15,30,2008-09-27 18:57:21,Communication
30,15,2008-09-27 18:58:15,Communication
43,3,2008-09-27 18:59:24,Communication
23,57,2008-09-27 19:01:19,Communication
23,57,2008-09-27 19:01:31,Communication
56,1,2008-09-27 19:17:54,Communication
30,15,2008-09-27 19:56:22,Communication
30,15,2008-09-27 19:56:59,Communication
15,30,2008-09-27 19:57:21,Communication
30,15,2008-09-27 19:58:15,Communication
30,26,2008-09-27 20:18:09,Communication
43,45,2008-09-27 20:27:38,Communication
1,56,2008-09-27 21:17:52,Communication
56,1,2008-09-27 21:17:54,Communication
23,57,2008-09-27 21:22:15,Communication
23,57,2008-09-27 21:22:29,Communication
43,45,2008-09-27 21:27:38,Communication
56,1,2008-09-27 22:17:54,Communication
23,57,2008-09-28 01:08:41,Communication
23,57,2008-09-28 01:09:14,Communication
23,57,2008-09-28 01:09:40,Communication
23,57,2008-09-28 01:34:24,Communication
43,45,2008-09-28 02:56:56,Communication
45,43,2008-09-28 02:57:21,Communication
23,57,2008-09-28 03:46:48,Communication
1,24,2008-09-28 04:00:43,Communication
1,24,2008-09-28 04:02:03,Communication
1,24,2008-09-28 04:02:43,Communication
23,57,2008-09-28 19:49:47,Communication
23,57,2008-09-29 15:01:20,Communication
23,57,2008-09-29 15:01:46,Communication
23,57,2008-09-29 21:00:05,Communication
23,57,2008-09-30 03:54:55,Communication
43,5,2008-09-30 05:35:23,Communication
43,5,2008-09-30 05:55:40,Communication
30,20,2008-09-30 20:55:45,Communication
23,57,2008-09-30 21:02:19,Communication
23,57,2008-09-30 21:37:52,Communication
23,57,2008-09-30 22:06:49,Communication
23,57,2008-10-01 00:38:31,Communication
23,57,2008-10-01 01:13:10,Communication
6,3,2008-10-01 02:10:14,Communication
23,57,2008-10-01 04:06:00,Communication
23,57,2008-10-01 04:07:10,Communication
23,57,2008-10-01 04:08:03,Communication
23,57,2008-10-01 04:09:02,Communication
23,57,2008-10-01 04:17:03,Communication
23,57,2008-10-01 04:18:17,Communication
60,0,2008-10-01 10:22:45,Communication
30,15,2008-10-01 15:38:24,Communication
23,57,2008-10-01 22:36:19,Communication
23,57,2008-10-02 02:09:10,Communication
30,15,2008-10-02 06:01:21,Communication
0,60,2008-10-02 06:51:01,Communication
30,15,2008-10-02 07:01:21,Communication
0,60,2008-10-02 07:51:01,Communication
30,15,2008-10-02 08:01:21,Communication
0,60,2008-10-02 08:51:01,Communication
23,57,2008-10-02 10:22:49,Communication
23,57,2008-10-02 11:22:49,Communication
61,64,2008-10-02 16:16:21,Communication
48,7,2008-10-02 16:17:26,Communication
19,27,2008-10-02 16:46:01,Communication
19,27,2008-10-02 17:09:39,Communication
50,54,2008-10-02 17:13:13,Communication
61,64,2008-10-02 17:14:55,Communication
50,54,2008-10-02 17:18:32,Communication
61,64,2008-10-02 17:20:27,Communication
61,64,2008-10-02 17:30:52,Communication
54,6,2008-10-02 17:32:04,Communication
61,64,2008-10-02 17:36:03,Communication
61,64,2008-10-02 17:41:14,Communication
61,64,2008-10-02 17:46:26,Communication
61,64,2008-10-02 17:51:39,Communication
54,6,2008-10-02 18:32:04,Communication
51,6,2008-10-02 18:32:04,Communication
3,6,2008-10-02 18:32:04,Communication
50,66,2008-10-02 20:54:51,Communication
43,45,2008-10-02 21:47:22,Communication
45,43,2008-10-02 21:47:30,Communication
0,60,2008-10-02 21:51:40,Communication
50,66,2008-10-02 21:53:59,Communication
50,34,2008-10-02 21:54:33,Communication
43,70,2008-10-02 21:54:42,Communication
70,43,2008-10-02 21:54:52,Communication
45,43,2008-10-02 22:21:46,Communication
45,43,2008-10-02 22:23:13,Communication
43,45,2008-10-02 22:23:34,Communication
