item.u,item.v,item.t,item.T
0,1,1082008561,Communication
2,3,1082123439,Communication
4,1,1082381991,Communication
5,6,1082407219,Communication
7,6,1082407356,Communication
8,9,1082408003,Communication
8,10,1082408053,Communication
11,12,1082408788,Communication
8,13,1082409354,Communication
8,14,1082409424,Communication
8,15,1082409495,Communication
8,16,1082409753,Communication
8,13,1082409928,Communication
8,17,1082410160,Communication
18,17,1082410623,Communication
19,20,1082412544,Communication
18,21,1082417674,Communication
7,22,1082417843,Communication
8,23,1082418245,Communication
8,21,1082418256,Communication
24,20,1082434689,Communication
25,6,1082448725,Communication
26,27,1082457840,Communication
28,24,1082471683,Communication
29,30,1082485106,Communication
29,30,1082485111,Communication
29,30,1082485113,Communication
29,30,1082485116,Communication
31,32,1082485623,Communication
33,34,1082493130,Communication
33,32,1082493318,Communication
35,36,1082498549,Communication
37,38,1082506449,Communication
35,39,1082507157,Communication
40,14,1082507905,Communication
40,10,1082507954,Communication
40,13,1082508062,Communication
40,12,1082508096,Communication
40,38,1082509042,Communication
40,41,1082541811,Communication
40,42,1082543944,Communication
8,39,1082551300,Communication
43,44,1082553068,Communication
45,21,1082555305,Communication
43,45,1082555822,Communication
46,45,1082556108,Communication
47,45,1082557083,Communication
8,48,1082564155,Communication
35,49,1082565315,Communication
43,50,1082565351,Communication
31,51,1082565656,Communication
35,31,1082565722,Communication
52,53,1082565995,Communication
35,54,1082566145,Communication
55,56,1082566148,Communication
35,31,1082566285,Communication
35,57,1082566365,Communication
43,58,1082566520,Communication
50,57,1082566534,Communication
43,13,1082566672,Communication
35,55,1082566976,Communication
35,59,1082567317,Communication
55,60,1082567668,Communication
61,49,1082568009,Communication
35,59,1082568387,Communication
31,58,1082569055,Communication
35,59,1082569472,Communication
35,49,1082569513,Communication
40,62,1082570219,Communication
40,63,1082570268,Communication
40,64,1082570282,Communication
40,55,1082570300,Communication
40,60,1082570361,Communication
40,42,1082570378,Communication
40,51,1082570407,Communication
40,57,1082570438,Communication
40,58,1082570668,Communication
8,63,1082570724,Communication
8,57,1082570779,Communication
11,65,1082570819,Communication
31,57,1082570866,Communication
11,65,1082570868,Communication
66,31,1082571114,Communication
40,31,1082571171,Communication
66,31,1082571249,Communication
31,67,1082571281,Communication
67,55,1082571450,Communication
66,31,1082571468,Communication
66,31,1082571599,Communication
67,60,1082571618,Communication
66,31,1082571679,Communication
66,7,1082572296,Communication
68,66,1082572990,Communication
69,50,1082574767,Communication
43,49,1082574889,Communication
66,31,1082575954,Communication
70,57,1082576005,Communication
70,71,1082576081,Communication
50,57,1082576109,Communication
71,70,1082576849,Communication
72,73,1082577249,Communication
73,72,1082577319,Communication
72,73,1082577513,Communication
73,72,1082577572,Communication
33,57,1082577714,Communication
43,74,1082577717,Communication
43,74,1082577841,Communication
8,57,1082577894,Communication
72,73,1082577932,Communication
8,75,1082577939,Communication
31,76,1082578926,Communication
40,75,1082579706,Communication
40,77,1082579722,Communication
78,47,1082580094,Communication
78,62,1082580135,Communication
40,79,1082580218,Communication
78,57,1082580264,Communication
40,80,1082580272,Communication
78,69,1082580547,Communication
18,81,1082580971,Communication
18,71,1082581044,Communication
11,31,1082581066,Communication
18,63,1082581510,Communication
18,57,1082581630,Communication
